verb,overall_occurrences,Levin_classes,simple_sel,pmw_count,number_withOUT_obj,objectless_sentences,percent_implicit_obj,sents_WITH_obj,most_common_objs,number_with_obj
hate,1.0,"admire(Psych-Verbs),",1.0,41,0.0,[],0.0,"[`` They are ugly and they eat chickens and I hate snakes '' . 
]","snake(1),",1.0
affect,3.0,"amuse(Psych-Verbs),",0.333,123,0.0,[],0.0,"[And in the wake of the new affluence and the new techniques of processing comes a new American interest in how what people eat affects their health . 
, I had read the story many times without asking myself why it affected me or caring why it did . 
, If you got too many people investing by this method , their operations would begin to affect stock prices , and thus throw the charts off . 
]","price(1),health(1),-PRON-(1),",3.0
enjoy,2.0,"admire(Psych-Verbs),",1.0,82,1.0,"[Half slyly he enjoyed seeing her stoop to lift the things . 
]",0.5,"[She read Maitland's Dark Ages , `` which I enjoyed very much '' ; ; 
It is at least as important as the more dramatic attempts to break down barriers of inequality in the South . 
]","which(1),",1.0
direct,1.0,"performance(Verbs of Creation and Transformation),",,41,1.0,"[Not content to create only the music and lyrics , Noel Coward also wrote the book and directed Sail Away ( Capitol WAO 1643 ; ; 
Systematically he would open and ransack drawers . 
]",1.0,[],,0.0
ransack,1.0,"cheat(Verbs of Removing),investigate(Verbs of Searching),",,41,1.0,"[Not content to create only the music and lyrics , Noel Coward also wrote the book and directed Sail Away ( Capitol WAO 1643 ; ; 
Systematically he would open and ransack drawers . 
]",1.0,[],,0.0
hide,1.0,"conceal(Verbs of Concealment),",,41,1.0,"[Though they saw the old-style chemical rockets lift up from the field beyond B'dikkat's cabin , they did not make plans to hide among the frozen crop of transmuted flesh . 
]",1.0,[],,0.0
dry,1.0,"other change-of-state(Verbs of Change of State),",,41,1.0,"[Experience showed , however , that it is very difficult to paint a dark umber background in fresco that will not dry out spotty and uneven . 
]",1.0,[],,0.0
thrust,1.0,"push/pull(Verbs of Exerting Force: Push/Pull Verbs),",,41,1.0,"[In their very first collages , Braque and Picasso draw or paint over and on the affixed paper or cloth , so that certain of the principal features of their subjects as depicted seem to thrust out into real , bas-relief space -- or to be about to do so -- while the rest of the subject remains imbedded in , or flat upon , the surface . 
]",1.0,[],,0.0
plow,2.0,"wipe(Verbs of Removing),",,82,1.0,"[The earth was a little heavy and I had to stop once and clean the plowshares because they were not scouring properly , and I did not look back towards the place until I had turned the corner and was plowing across the upper line of the large field , a long way from where I had stopped because of the snake . 
]",1.0,[],,0.0
call,9.0,"get(Verbs of Change of Possession),",0.333,369,4.0,"[He called the Cuban tractor plan an outright blackmail action , and noted that in war `` you can't buy yourself out and that's what we're trying to do '' . 
, At a party an English intellectual -- so-called -- asked me why I write always about distress . 
, I used to go with Watson to call on the eminent neurologist at his apartment , to sit among the doctor's excellent collection of statues , paintings , and books and drink Oriental coffee while Watson seemed to thaw out and become almost affable . 
, His recent experience in motor car advertising , a love for cars of themselves , the existence of A-Z's useless Wisconsin set-up , exposure to exciting conceptions of Hamrick's that nobody would buy , and the coincidental recent failure of a respected but out-dated small-car manufacturer called Ticonderoga Motors had given him an idea of such dimensions he was almost afraid to broach it . 
]",0.5714285714285714,"[There are many who predict that should Barnett decide to call the Legislature back into special session , it will really throw his administration into a scramble . 
, There were no `` casualties '' , but the `` guerrillas '' admitted to being `` a little tired '' when the leaders called a halt at 9 A.M. to enable out-of-town members to catch a plane . 
, They were always leaping to light cigarettes , open car doors , fill plates or glasses , and I mistrusted the whole lot of them to the same degree that I mistrusted bake shops that called themselves `` Sanitary Bake Shops '' . 
]","legislature(1),halt(1),-PRON-(1),",3.0
