verb,overall_occurrences,Levin_classes,simple_sel,pmw_count,number_withOUT_obj,objectless_sentences,percent_implicit_obj,sents_WITH_obj,most_common_objs,number_with_obj
hate,2.0,"admire(Psych-Verbs),",0.5,244,0.0,[],0.0,"[I hate USPS.""
 , I grew to really hate them.]","usps(1),-PRON-(1),",2.0
enjoy,1.0,"admire(Psych-Verbs),",,122,1.0,[find something you enjoy.],1.0,[],,0.0
hide,1.0,"conceal(Verbs of Concealment),",1.0,122,0.0,[],0.0,"[""Sounds like Grandma wasn't crazy for hiding money in her couch after all. ""
 ]","money(1),",1.0
call,5.0,"get(Verbs of Change of Possession),",1.0,610,3.0,"[I hope this is a wake up call for them, You can call at (914) 288-6023 and fax at (866) 314-9739., Cost to ship for the padded envelope ranges $1.69 to $1.86 and comes with free Delivery Confirmation service  same rate to ALL ZONES, including Alaska and Hawaii, with no bullshit distinction between so-called 'Business' and 'Residential' addresses.]",0.75,"[""Well, since you rhetorically called me a 5 year old and an ass now, I think I can savely say, you are not the most diplomatic person either.]","-PRON-(1),",1.0
hurt,1.0,"amuse(Psych-Verbs),",1.0,122,0.0,[],0.0,"[""You didn't make me feel bad or hurt my feelings.]","feeling(1),",1.0
work,22.0,"knead(Verbs of Creation and Transformation),",,2684,20.0,"[you want to work in., And seriously, I work as an engineer, if I got you, or someone similar, as a supervisor or someone that I'd have to give answers to, I would flat out quit., I work in a company that values experiance and skill, so I'm quite fine there., ""I work with HolacracyOne, the company behind Holacracy., You also need to find a way to make it work., Seeing as how I don't work with you I don't have to pull punches or try to manage you., I work at UPS and we put high priority on postal because it's a huge government contract""
 , ""We pride ourselves in taking care of our customers; whether it is a single bouquet, a vase from our gift shop or an entire weddings worth of flowers, it's our pleasure to work with you., if it works for one person, it probably works for many people., if it works for one person, it probably works for many people., i am just saying, spamming worked for zuckerberg -- who was simply trying to crete an \""online yearbook\"", reference to my opinion about \""higher education\"": it only makes sense if it's essentially free, as it should be.), Source: my wife is going on unemployment, even though she was going to stop working soon anyways, as a fuck you to her old boss/owner of the business.""
  , I would take the bus to work., Second, you must gain the trust and confidence of those who are senior to you in the organization that you work in., This is not easy and requires a lot of time and dedication to make it work., ""It makes me cringe to think that somewhere out there there are people working for basically slave wages so that Americans can have cheap hourglasses for our Boggle games.""
  , ""
 I worked for a retailer that had an eBay store and we sold like 20% of items at a small loss or no profit. ""
  , Saying that the Chinese are working for \""slave wages\"" is akin to saying that Americans are working for \""slave wages\"" because factory work in Norway pays $40/hour minimum., Saying that the Chinese are working for \""slave wages\"" is akin to saying that Americans are working for \""slave wages\"" because factory work in Norway pays $40/hour minimum., They come to the USA illegally, work for a few years to save up as much money as possible, and then go back to their countries....  ]",1.0,[],,0.0
give,15.0,"give(Verbs of Change of Possession),",0.2,1830,1.0,[You're not giving best buy your ssn when you buy a 5K tv],0.09090909090909091,"[And seriously, I work as an engineer, if I got you, or someone similar, as a supervisor or someone that I'd have to give answers to, I would flat out quit., There is quite a bit more to it than what you can read in the news article... in case you wanna learn more, we give a free webinar on Jan 9 that clarifies.
 , They just never seemed to give a fuck about anything other than their own advantage., ""I hope that this nonsense about \""you're not truly American/Canadian/etc until you give up your original citizenship\"" will eventually go away.
 , ""That's particularly stupid, because giving up your original citizenship doesn't immediately change your opinions about your original country., If* you were an evil agent of that country, bent on destroying the US, you'd just give up your citizenship to that country, technically, in order to serve your goals., ""To clarify, providing free shipping automatically gives the seller a 5 star rating in the \""shipping\"" section of the feedback evaluation. ""
  , They want you to fill out surveys and give them good ratings., Any time you buy on credit, you need to give the lender your SS for this reason., If those of you who downvoted me understood that I was being sarcastic, please give me a compelling case for consumer 3D printing being a disruptive technology.]","rating(2),citizenship(2),ss(1),fuck(1),clarify(1),citizenship\(1),case(1),answer(1),",10.0
provide,6.0,"fulfilling(Verbs of Change of Possession),",0.25,732,1.0,"[In fact, many of the workers who have these factory jobs pay enough not just to provide for themselves, but also for their extended families.]",0.2,"[""We've assembled the brightest and most qualified team of  team of healthcare real estate professionals to provide unparalleled service to the physicians, healthcare executives and investors who serve the healthcare needs of residents of Florida. ""
  , Arkk Solutions provides remarkable modified solutions for your financial data for you to change your statutory accounts into ixbrl., We provide affordable limousines for all occasions and events., ""To clarify, providing free shipping automatically gives the seller a 5 star rating in the \""shipping\"" section of the feedback evaluation. ""
  ]","solution(1),shipping(1),service(1),limousine(1),",4.0
purchase,2.0,"obtain(Verbs of Change of Possession),",,244,1.0,[to purchase whatever the website is selling.],1.0,[],,0.0
order,1.0,"get(Verbs of Change of Possession),",,122,1.0,"[the best was when this company selling fake goods shipped me a jersey 2 months late, and tried to blame it on Hurricane Sandy, even though the hurricane was before I ordered.]",1.0,[],,0.0
fix,2.0,"preparing(Verbs of Creation and Transformation),",1.0,244,0.0,[],0.0,"[""Google wantrepreneur and see how much of those traits you can identify with and how to fix them.]","-PRON-(1),",1.0
break,2.0,"cheat(Verbs of Removing),break(Verbs of Change of State),",,244,1.0,[I don't think Fedex or UPS offer Amazon the ability to pick up and deliver on the same day like the couriers do which I suspect is what sparked their move to break away from a UPS-only contract and move to multiple carriers.],1.0,[],,0.0
serve,5.0,"give(Verbs of Change of Possession),fulfilling(Verbs of Change of Possession),",0.5,610,1.0,"[We switched to UPS, who were so crassly self-serving]",0.3333333333333333,"[""We've assembled the brightest and most qualified team of  team of healthcare real estate professionals to provide unparalleled service to the physicians, healthcare executives and investors who serve the healthcare needs of residents of Florida. ""
  , If* you were an evil agent of that country, bent on destroying the US, you'd just give up your citizenship to that country, technically, in order to serve your goals.]","need(1),goal(1),",2.0
matter,3.0,"appeal(Psych-Verbs),",,366,3.0,"[We are a highly focused and specialized team of investment, marketing, leasing and management professionals at your full disposal so you can focus on what matters most. ""
  , But for Federal Reserve, they can screw up the economy, but anyone can do that, duel citizenship wouldn't matter. ""
  , Going to a big corporation it wouldn't matter if you are God, if they hire you to open the door for the janitor that's the cookie cutter you fit into.
 ]",1.0,[],,0.0
mind,1.0,"marvel(Psych-Verbs),",,122,1.0,"[, I don't mind that the service wasn't stellar.]",1.0,[],,0.0
watch,5.0,"sight(Verbs of Perception),search(Verbs of Searching),",0.2,610,0.0,[],0.0,"[If you just want to get rich then I don't really have any advice for you, justget a job or watch Glengarry Glenross or something., ""Please watch Last Train Home., After you watch it, read the film updates/etc., ""I watch this sub to learn about business to avoid just that., I will definitely watch this.]","this(1),sub(1),home(1),glenross(1),-PRON-(1),",5.0
wear,1.0,"wipe(Verbs of Removing),",,122,1.0,"[they just last longer and don't rip/wear out fast.
 ]",1.0,[],,0.0
improve,2.0,"other change-of-state(Verbs of Change of State),",1.0,244,1.0,[keep improving whatever it is you are doing.],0.5,[find a way to improve it for one person.],"-PRON-(1),",1.0
trust,1.0,"fulfilling(Verbs of Change of Possession),admire(Psych-Verbs),",1.0,122,0.0,[],0.0,"[I trust them more than my own bank""
  ""Regular retail stores use this model as well.""
  ]","-PRON-(1),",1.0
