verb,Levin_classes
pardon,"cheat(Verbs of Removing),"
yellow,"other change-of-state(Verbs of Change of State),"
hate,"admire(Psych-Verbs),"
spellbind,"amuse(Psych-Verbs),"
defraud,"cheat(Verbs of Removing),"
regularize,"other change-of-state(Verbs of Change of State),"
muzzle,"butter(Verbs of Putting),"
swab,"spray/load(Verbs of Putting),wipe(Verbs of Removing),"
spew,"pour(Verbs of Putting),"
bludgeon,"spank(Verbs of Contact by Impact),"
tickle,"touch(Verbs of Contact: Touch Verbs),amuse(Psych-Verbs),"
swat,"swat(Verbs of Contact by Impact),"
swap,"exchange(Verbs of Change of Possession),"
daze,"amuse(Psych-Verbs),"
dapple,"fill(Verbs of Putting),"
whack,"hit(Verbs of Contact by Impact),"
rescue,"steal(Verbs of Removing),"
defuzz,"debone(Verbs of Removing),"
blanket,"fill(Verbs of Putting),butter(Verbs of Putting),"
rise,"calibratable change-of-state(Verbs of Change of State),"
smack,"hit(Verbs of Contact by Impact),"
affect,"amuse(Psych-Verbs),"
slather,"spray/load(Verbs of Putting),"
embroider,"image-impression(Image Creation Verbs),build(Verbs of Creation and Transformation),"
disturb,"amuse(Psych-Verbs),"
whisk,"wipe(Verbs of Removing),spank(Verbs of Contact by Impact),"
buttonhole,"butter(Verbs of Putting),"
pinch,"steal(Verbs of Removing),touch(Verbs of Contact: Touch Verbs),"
derat,"debone(Verbs of Removing),"
enjoy,"admire(Psych-Verbs),"
chew,"chew(Verbs of Ingesting),"
charter,"get(Verbs of Change of Possession),"
bilk,"cheat(Verbs of Removing),"
direct,"performance(Verbs of Creation and Transformation),"
scrutinize,"sight(Verbs of Perception),investigate(Verbs of Searching),"
levitate,"other change-of-state(Verbs of Change of State),"
kidnap,"steal(Verbs of Removing),"
ransack,"cheat(Verbs of Removing),investigate(Verbs of Searching),"
even,"other change-of-state(Verbs of Change of State),"
hide,"conceal(Verbs of Concealment),"
wreck,"destroy(Destroy Verbs),"
worsen,"other change-of-state(Verbs of Change of State),"
rekindle,"other change-of-state(Verbs of Change of State),"
poison,"butter(Verbs of Putting),poison(Verbs of Killing),"
endorse,"illustrate(Image Creation Verbs),"
cull,"remove(Verbs of Removing),cheat(Verbs of Removing),"
crunch,"chew(Verbs of Ingesting),sound emission(Verbs of Emission),"
devein,"debone(Verbs of Removing),"
splinter,"break(Verbs of Change of State),"
metamorphose,"turn(Verbs of Creation and Transformation),"
acidify,"other change-of-state(Verbs of Change of State),"
burgle,"cheat(Verbs of Removing),"
dry,"other change-of-state(Verbs of Change of State),"
taper,"other change-of-state(Verbs of Change of State),"
slow,"other change-of-state(Verbs of Change of State),"
derind,"debone(Verbs of Removing),"
credit,"fulfilling(Verbs of Change of Possession),"
harass,"amuse(Psych-Verbs),"
lignify,"other change-of-state(Verbs of Change of State),"
leaven,"butter(Verbs of Putting),"
intrigue,"amuse(Psych-Verbs),"
secure,"get(Verbs of Change of Possession),"
lengthen,"other change-of-state(Verbs of Change of State),"
strap,"spank(Verbs of Contact by Impact),"
nauseate,"amuse(Psych-Verbs),"
shun,"avoid(Avoid Verbs),"
quadruple,"other change-of-state(Verbs of Change of State),"
descale,"debone(Verbs of Removing),"
glance,"peer(Verbs of Perception),"
plot,"scribble(Image Creation Verbs),"
plow,"wipe(Verbs of Removing),"
insult,"amuse(Psych-Verbs),"
interlace,"fill(Verbs of Putting),"
call,"get(Verbs of Change of Possession),"
calm,"amuse(Psych-Verbs),"
strike,"hit(Verbs of Contact by Impact),amuse(Psych-Verbs),sound emission(Verbs of Emission),"
type,"scribble(Image Creation Verbs),transcribe(Image Creation Verbs),"
rankle,"amuse(Psych-Verbs),"
plagiarize,"steal(Verbs of Removing),"
desalt,"debone(Verbs of Removing),"
mesmerize,"amuse(Psych-Verbs),"
warp,"other change-of-state(Verbs of Change of State),"
hurt,"amuse(Psych-Verbs),"
phone,"get(Verbs of Change of Possession),"
warm,"other change-of-state(Verbs of Change of State),"
hurl,"throw(Verbs of Throwing),"
hold,"hold(Hold and Keep Verbs),"
destarch,"debone(Verbs of Removing),"
blindfold,"butter(Verbs of Putting),"
shoot,"get(Verbs of Change of Possession),throw(Verbs of Throwing),swat(Verbs of Contact by Impact),poison(Verbs of Killing),"
brown,"cook(Verbs of Change of State),other change-of-state(Verbs of Change of State),"
pot-roast,"cook(Verbs of Change of State),"
debark,"debone(Verbs of Removing),"
sweeten,"other change-of-state(Verbs of Change of State),"
work,"knead(Verbs of Creation and Transformation),"
worm,"pit(Verbs of Removing),"
roof,"butter(Verbs of Putting),"
shellac,"color(Verbs of Coloring),"
install,"putting(Verbs of Putting),"
shelve,"pocket(Verbs of Putting),"
root,"rummage(Verbs of Searching),"
scavenge,"search(Verbs of Searching),"
loosen,"other change-of-state(Verbs of Change of State),"
debone,"debone(Verbs of Removing),"
pollute,"fill(Verbs of Putting),"
give,"give(Verbs of Change of Possession),"
federate,"other change-of-state(Verbs of Change of State),"
degenerate,"other change-of-state(Verbs of Change of State),"
freshen,"other change-of-state(Verbs of Change of State),"
loathe,"admire(Psych-Verbs),"
trill,"sound emission(Verbs of Emission),"
provide,"fulfilling(Verbs of Change of Possession),"
photocopy,"transcribe(Image Creation Verbs),"
bunt,"throw(Verbs of Throwing),"
disappoint,"amuse(Psych-Verbs),"
beach,"pocket(Verbs of Putting),"
void,"cheat(Verbs of Removing),"
moisten,"other change-of-state(Verbs of Change of State),"
degrit,"debone(Verbs of Removing),"
whittle,"build(Verbs of Creation and Transformation),"
lay,"putting-in-spatial-config(Verbs of Putting),"
purchase,"obtain(Verbs of Change of Possession),"
deflesh,"debone(Verbs of Removing),"
alienate,"amuse(Psych-Verbs),"
revolt,"amuse(Psych-Verbs),"
season,"fill(Verbs of Putting),"
scare,"amuse(Psych-Verbs),"
green,"other change-of-state(Verbs of Change of State),"
enter,"inherently directed motion(Verbs of Motion),"
operate,"other change-of-state(Verbs of Change of State),"
order,"get(Verbs of Change of Possession),"
wind,"coil(Verbs of Putting),pit(Verbs of Removing),knead(Verbs of Creation and Transformation),"
deck,"fill(Verbs of Putting),"
sprout,"other change-of-state(Verbs of Change of State),entity-specific change-of-state(Verbs of Change of State),"
vary,"other change-of-state(Verbs of Change of State),calibratable change-of-state(Verbs of Change of State),"
japan,"color(Verbs of Coloring),"
strangle,"poison(Verbs of Killing),"
demast,"debone(Verbs of Removing),"
fix,"preparing(Verbs of Creation and Transformation),"
fade,"other change-of-state(Verbs of Change of State),"
carve,"carve(Verbs of Cutting),scribble(Image Creation Verbs),build(Verbs of Creation and Transformation),"
shear,"wipe(Verbs of Removing),"
descend,"inherently directed motion(Verbs of Motion),"
enrich,"fill(Verbs of Putting),"
plaster,"spray/load(Verbs of Putting),butter(Verbs of Putting),"
depopulate,"cheat(Verbs of Removing),"
microfilm,"transcribe(Image Creation Verbs),"
break,"cheat(Verbs of Removing),break(Verbs of Change of State),"
