verb,Levin_classes,,,
abandon,"leave(Verbs of Motion),",,,
abash,"amuse(Psych-Verbs),",,,
abate,"other change-of-state(Verbs of Change of State),",,,
abduct,"steal(Verbs of Removing),",,,
abhor,"admire(Psych-Verbs),",,,
absolve,"cheat(Verbs of Removing),",,,
abstract,"remove(Verbs of Removing),",,,
abuse,"judgment(Judgment Verbs),",,,
abut,"contiguous location(Verbs of Existence),",,,
accelerate,"other change-of-state(Verbs of Change of State),",,,
accept,"obtain(Verbs of Change of Possession),characterize(Verbs with Predicative Complements),",,,
acclaim,"judgment(Judgment Verbs),",,,
accompany,"accompany(Verbs of Motion),",,,
accumulate,"obtain(Verbs of Change of Possession),",,,
acetify,"other change-of-state(Verbs of Change of State),",,,
acidify,"other change-of-state(Verbs of Change of State),",,,
acknowledge,"appoint(Verbs with Predicative Complements),",,,
acquire,"obtain(Verbs of Change of Possession),learn(Learn Verbs),",,,
acquit,"cheat(Verbs of Removing),",,,
act,"masquerade(Verbs with Predicative Complements),",,,
add,"mix(Verbs of Combining and Attaching),",,,
address,"illustrate(Image Creation Verbs),characterize(Verbs with Predicative Complements),",,,
adhere,"cling(Verbs of Combining and Attaching),",,,
adjoin,"contiguous location(Verbs of Existence),",,,
adjudge,"declare(Verbs with Predicative Complements),",,,
adjudicate,"declare(Verbs with Predicative Complements),",,,
administer,"contribute(Verbs of Change of Possession),",,,
admire,"admire(Psych-Verbs),",,,
admit,"conjecture(Verbs with Predicative Complements),",,,
admonish,"advise(Verbs of Communication),",,,
adopt,"appoint(Verbs with Predicative Complements),",,,
adore,"admire(Psych-Verbs),",,,
adorn,"fill(Verbs of Putting),illustrate(Image Creation Verbs),",,,
advance,"future-having(Verbs of Change of Possession),other change-of-state(Verbs of Change of State),",,,
advertise,"search(Verbs of Searching),",,,
advise,"advise(Verbs of Communication),",,,
affect,"amuse(Psych-Verbs),",,,
affiliate,"amalgamate(Verbs of Combining and Attaching),",,,
afflict,"amuse(Psych-Verbs),",,,
affront,"amuse(Psych-Verbs),",,,
age,"other change-of-state(Verbs of Change of State),",,,
agglomerate,"other change-of-state(Verbs of Change of State),",,,
aggravate,"amuse(Psych-Verbs),",,,
agitate,"amuse(Psych-Verbs),",,,
agonize,"amuse(Psych-Verbs),",,,
air,"other change-of-state(Verbs of Change of State),",,,
airmail,"send(Verbs of Sending and Carrying),",,,
alarm,"amuse(Psych-Verbs),",,,
alert,"advise(Verbs of Communication),",,,
alienate,"amuse(Psych-Verbs),",,,
alkalify,"other change-of-state(Verbs of Change of State),",,,
allocate,"future-having(Verbs of Change of Possession),",,,
allot,"future-having(Verbs of Change of Possession),",,,
allow,"conjecture(Verbs with Predicative Complements),",,,
alter,"turn(Verbs of Creation and Transformation),other change-of-state(Verbs of Change of State),",,,
alternate,"amalgamate(Verbs of Combining and Attaching),",,,
amalgamate,"amalgamate(Verbs of Combining and Attaching),",,,
amaze,"amuse(Psych-Verbs),",,,
ameliorate,"other change-of-state(Verbs of Change of State),",,,
americanize,"other change-of-state(Verbs of Change of State),",,,
amuse,"amuse(Psych-Verbs),",,,
analyze,"assessment(Verbs of Assessment),",,,
anchor,"tape(Verbs of Combining and Attaching),",,,
anger,"amuse(Psych-Verbs),",,,
annihilate,"destroy(Destroy Verbs),",,,
announce,"say(Verbs of Communication),",,,
annoy,"amuse(Psych-Verbs),",,,
anoint,"fill(Verbs of Putting),dub(Verbs with Predicative Complements),",,,
antagonize,"amuse(Psych-Verbs),",,,
appall,"amuse(Psych-Verbs),",,,
appeal,"appeal(Psych-Verbs),",,,
appease,"amuse(Psych-Verbs),",,,
append,"shake(Verbs of Combining and Attaching),",,,
applaud,"judgment(Judgment Verbs),",,,
applique,"image-impression(Image Creation Verbs),",,,
appoint,"appoint(Verbs with Predicative Complements),",,,
appraise,"price(Measure Verbs),",,,
appreciate,"characterize(Verbs with Predicative Complements),admire(Psych-Verbs),calibratable change-of-state(Verbs of Change of State),",,,
apprentice,"orphan(Verbs with Predicative Complements),",,,
appropriate,"obtain(Verbs of Change of Possession),",,,
arch,"crane(Verbs Involving the Body),",,,
archive,"pocket(Verbs of Putting),",,,
arise,"appear(Verbs of Appearance, Disappearance, and Occurrence),",,,
arm,"equip(Verbs of Change of Possession),",,,
arouse,"amuse(Psych-Verbs),",,,
arrange,"putting(Verbs of Putting),build(Verbs of Creation and Transformation),",,,
articulate,"say(Verbs of Communication),",,,
ascend,"inherently directed motion(Verbs of Motion),",,,
ask,"message transfer(Verbs of Communication),",,,
asphalt,"butter(Verbs of Putting),",,,
