verb,count,per_million_words
incorporate,1,176.0
help,8,1412.0
show,1,176.0
move,1,176.0
focus,2,353.0
feature,1,176.0
elevate,1,176.0
find,1,176.0
depend,2,353.0
add,1,176.0
combine,2,353.0
include,6,1059.0
build,1,176.0
halt,1,176.0
get,1,176.0
workout,1,176.0
introduce,1,176.0
know,1,176.0
benefit,1,176.0
contain,1,176.0
enhance,1,176.0
precaution,1,176.0
require,6,1059.0
mean,1,176.0
prevent,2,353.0
because,4,706.0
train,2,353.0
reduce,1,176.0
see,1,176.0
result,3,529.0
undertake,1,176.0
confirm,2,353.0
avoid,3,529.0
increase,3,529.0
state,1,176.0
contrast,1,176.0
refer,3,529.0
be,53,9355.0
associate,1,176.0
rely,1,176.0
tempt,1,176.0
put,1,176.0
throw,1,176.0
change,1,176.0
improve,4,706.0
comparison,1,176.0
training,2,353.0
engage,1,176.0
shift,1,176.0
experience,5,882.0
implement,1,176.0
argue,2,353.0
strap,1,176.0
exploit,1,176.0
belt,1,176.0
use,11,1941.0
become,3,529.0
stretch,1,176.0
bodybuild,1,176.0
indicate,1,176.0
recommend,4,706.0
type,1,176.0
cite,2,353.0
offer,1,176.0
warm,1,176.0
specify,1,176.0
join,1,176.0
consist,1,176.0
challenge,3,529.0
work,1,176.0
chalk,1,176.0
learn,3,529.0
demonstrate,1,176.0
history,1,176.0
give,1,176.0
strengthen,3,529.0
lock,1,176.0
confused,1,176.0
involve,2,353.0
exist,1,176.0
have,5,882.0
arise,1,176.0
need,1,176.0
attract,1,176.0
occur,1,176.0
squat,1,176.0
greek,1,176.0
provide,2,353.0
make,2,353.0
utilize,1,176.0
equipment,1,176.0
maintain,2,353.0
take,2,353.0
advise,5,882.0
pain,1,176.0
trace,1,176.0
may,1,176.0
depict,1,176.0
date,1,176.0
stack,1,176.0
—,1,176.0
perform,3,529.0
hydration,1,176.0
principle,1,176.0
allow,4,706.0
constrain,1,176.0
spend,1,176.0
